[2025-11-19 00:06:59] === MULAI SNAPSHOT STOK HARIAN ===
[2025-11-19 00:06:59] ✅ Roti Coklat Keju: Awal=32, Terjual=0, Sisa=32
[2025-11-19 00:06:59] ✅ Mocha Coffee Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Cinnamon Sugar Cookies : Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Rainbow Spinkle Cookies: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Donat Cokelat Glaze: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Donat Gula Halus: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Chocolate Fudge Cake: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Red Velvet Cake: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Black Forest: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Tiramisu Cake: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Rainbow Cake: Awal=5, Terjual=0, Sisa=5
[2025-11-19 00:06:59] ✅ Cheese Cake: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Pandan Layer Cake: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Carrot Cake: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Strawberry Shortcake: Awal=14, Terjual=0, Sisa=14
[2025-11-19 00:06:59] ✅ Mille Feuille: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Danish Blueberry: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Pain au Chocolat: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Strawberry Cream Cheese Puff: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Apple Turnover: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Cinnamon Roll: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Lemon Tart: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Donat Bomboloni: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Donat Oreo: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Donat Bomboloni Keju: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Donat Tiramisu: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Pain Suisse : Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Kouign Amann: Awal=25, Terjual=0, Sisa=25
[2025-11-19 00:06:59] ✅ Flaky Pastry: Awal=25, Terjual=0, Sisa=25
[2025-11-19 00:06:59] ✅ Shortcrust Pastry: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Rough Puff Pastry: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Phyllo Pastry: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Beignet: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Madeleine: Awal=24, Terjual=0, Sisa=24
[2025-11-19 00:06:59] ✅  Meringue: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Choux Pastry: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Donat Ubi: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Donat Tape: Awal=17, Terjual=0, Sisa=17
[2025-11-19 00:06:59] ✅ Donat Crispy: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Roti Tawar Putih: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Roti Gandum: Awal=12, Terjual=0, Sisa=12
[2025-11-19 00:06:59] ✅ Roti Isi Cokelat: Awal=19, Terjual=0, Sisa=19
[2025-11-19 00:06:59] ✅ Roti Isi Keju: Awal=13, Terjual=0, Sisa=13
[2025-11-19 00:06:59] ✅ Roti Isi Abon: Awal=10, Terjual=0, Sisa=10
[2025-11-19 00:06:59] ✅ Roti Isi Kacang: Awal=13, Terjual=0, Sisa=13
[2025-11-19 00:06:59] ✅ Roti Srikaya: Awal=12, Terjual=0, Sisa=12
[2025-11-19 00:06:59] ✅ Roti Susu: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Roti Isi Pisang: Awal=12, Terjual=0, Sisa=12
[2025-11-19 00:06:59] ✅ Roti Isi Singkong: Awal=14, Terjual=0, Sisa=14
[2025-11-19 00:06:59] ✅ Roti Bakar: Awal=11, Terjual=0, Sisa=11
[2025-11-19 00:06:59] === SELESAI: 81 dari 81 produk berhasil disnapshot ===
[2025-11-19 00:07:04] === MULAI SNAPSHOT STOK HARIAN ===
[2025-11-19 00:07:04] ⚠️ Snapshot untuk 2025-11-19 sudah ada. Skip.
[2025-11-19 00:07:06] === MULAI SNAPSHOT STOK HARIAN ===
[2025-11-19 00:07:06] ⚠️ Snapshot untuk 2025-11-19 sudah ada. Skip.
[2025-11-19 00:07:07] === MULAI SNAPSHOT STOK HARIAN ===
[2025-11-19 00:07:07] ⚠️ Snapshot untuk 2025-11-19 sudah ada. Skip.
